"text","label"
"function greetUser(name) {\n    console.log('Hello, ' + name);\n}","Code"
"A boy named Max built a robot that became his best friend, helping him navigate life's challenges and teaching him valuable lessons.","Story"
"In a land where dreams came to life, a young girl named Clara learned to harness her imagination to create a world of wonder and magic.","Story"
"A girl named Emma found a magical compass that led her on a journey to discover her true purpose in life.","Story"
"This fitness app has helped me stay motivated and track my progress effectively.","Review"
"I found the online course to be informative and engaging, with valuable insights.","Review"
"A recent survey indicates that 80% of consumers are willing to pay more for environmentally friendly products.","Report"
"SELECT * FROM products WHERE price < 20;","Code"
"In a world where dreams can be shared, a boy named Leo learned to navigate the dreamscape to save his sister from a dark nightmare.","Story"
"According to a recent survey, 75% of Americans support stricter gun control measures following recent mass shootings.","Report"
"According to a recent study, individuals who engage in regular exercise report higher levels of happiness and lower levels of stress.","Report"
"A boy named Oliver discovered a hidden cave filled with ancient treasures, each with a story waiting to be told.","Story"
"In a bustling city, a street artist named Jake used his talent to spread messages of hope and love, inspiring others to follow their dreams.","Story"
"In a kingdom where the sun never shone, a young girl named Lila sought to bring light back to her world by finding the lost Sunstone.","Story"
"I was impressed by the quality of this skincare line; my skin feels healthier and more radiant.","Review"
"I found the online course to be informative and engaging, with valuable insights.","Review"
"Participant 1: I think we should consider a new marketing strategy.\nParticipant 2: That could be beneficial; we need to reach a broader audience.","Transcript"
"Participant: I believe we should implement a new feedback system for our employees.\nAnother Participant: Yes, regular feedback can help improve performance and morale.","Transcript"
"According to data from the National Oceanic and Atmospheric Administration, extreme weather events are becoming more frequent due to climate change.","Report"
"public int Sum(int a, int b) {\n    return a + b;\n}","Code"
"The customer service team was friendly and helpful, making my experience pleasant.","Review"
"I was impressed by the quality of this skincare line; my skin feels healthier and more radiant.","Review"
"def fibonacci(n):\n    if n <= 0:\n        return 0\n    elif n == 1:\n        return 1\n    else:\n        return fibonacci(n-1) + fibonacci(n-2)","Code"
"According to the latest findings, the number of people working from home has increased by 40% since the onset of the pandemic.","Report"
"def is_prime(n):\n    for i in range(2, int(n**0.5) + 1):\n        if n % i == 0:\n            return False\n    return True","Code"
"SELECT * FROM products WHERE price < 20;","Code"
"This product did not meet my expectations; it broke after just a few uses.","Review"
"function greetUser(name) {\n    console.log('Hello, ' + name);\n}","Code"
"A girl named Lily found a hidden garden that blossomed with flowers that could sing, bringing joy to all who visited.","Story"
"The art exhibition was a wonderful showcase of local talent, with a variety of styles on display.","Review"
"Moderator: Thank you for your valuable insights today.\nPanelist 1: It was a pleasure to be part of this discussion. I hope we were able to provide valuable perspectives.","Transcript"
"A girl named Mia discovered a hidden talent for singing, using her voice to inspire others and bring joy to her community.","Story"
"In a small town, a mysterious stranger arrived, bringing with him tales of adventure and a quest that would change the lives of the townspeople forever.","Story"
"Interviewer: How do you handle failure or setbacks?\nCandidate: I view failure as an opportunity for growth and learning. When faced with a setback, I take time to reflect on what went wrong, identify areas for improvement, and develop a plan to address the issue.","Transcript"
"Research conducted by the National Institute of Health shows that sleep deprivation can significantly impair cognitive function.","Report"
"I found this fitness tracker to be accurate and easy to use, making it a great addition to my routine.","Review"
"The latest report from the Department of Agriculture reveals that organic farming is becoming increasingly popular among farmers.","Report"
"A girl named Mia stumbled upon a hidden portal in her backyard that led to a world filled with magical creatures and fantastic adventures.","Story"
"The customer service at this company is outstanding; they truly care about their customers.","Review"
"I found this documentary to be enlightening and well-researched, providing a new perspective on the topic.","Review"
"I was impressed by the quality of this backpack; it's durable, comfortable, and has plenty of storage space.","Review"
"Customer: Can you help me track my order?\nAgent: Absolutely, let me pull up your information right now.","Transcript"
"A girl named Clara discovered a hidden garden that granted her the ability to talk to plants and animals, forming a unique bond with nature.","Story"
"In a kingdom ruled by a tyrant, a brave girl named Aria rallies the villagers to stand up against oppression and fight for their freedom.","Story"
"let fruits = ['apple', 'banana', 'cherry'];\nfruits.forEach(fruit => console.log(fruit));","Code"
"Moderator: Thank you for sharing your insights.\nPanelist 1: It’s important to have these discussions to drive change.","Transcript"
